Item,Category,Calories_per_100g,Protein_g,Carbs_g,Fat_g,Taste_Rasa,Virya,Vipaka,Dosha_Effects
Punjabi Pineapple,fruit,50.5,0.61,12.21,0.11,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Gujarati Chapati,snack,112.4,3.8,20.21,1.75,Mixed,Heating,Pungent,Increases Kapha and Pitta
Hyderabadi Coffee,beverage,1.9,0.11,0,0,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
North Indian Carrot,vegetable,41.9,0.99,8.58,0.1,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Rajasthani Fenugreek (methi),vegetable,50.5,5.12,8.11,0.53,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Gujarati Papaya,fruit,42.6,0.64,10.57,0.22,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
South Indian Black gram,legumes,332.8,20.32,56.41,1.67,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Kashmiri Carrot,vegetable,41.7,0.87,9.82,0.04,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Kashmiri Chapati,snack,114.9,3.58,19.78,2.2,Mixed,Heating,Pungent,Increases Kapha and Pitta
Bengali Asafoetida (hing),spice,324.8,0,0,0.11,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
North Indian Chapati,snack,110.6,3.19,21.1,1.72,Mixed,Heating,Pungent,Increases Kapha and Pitta
Bengali Barley,grains,387.2,13.58,71.04,2.51,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Hyderabadi Banana (ripe),fruit,89.3,1.19,23.67,0.22,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
North Indian Turmeric (haldi),spice,302,10.5,65.75,3.21,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Assamese Spinach (palak),vegetable,21.9,3,4.63,0.29,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Gujarati Idli,snack,58.1,2.67,12.14,0.45,Mixed,Heating,Pungent,Increases Kapha and Pitta
Gujarati Samosa,snack,248.1,6.21,30.65,14.97,Mixed,Heating,Pungent,Increases Kapha and Pitta
Hyderabadi Chickpea (kabuli),legumes,385.6,22.94,63.12,6.14,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Punjabi Kidney bean (rajma),legumes,336.2,23.32,61.22,0.77,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Gujarati Custard apple,fruit,94.8,1.55,21.61,0.71,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Bengali Mustard greens (sarson),vegetable,28.8,2.87,3.64,0.64,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
North Indian Lemon water,beverage,5.3,0.1,0.8,0,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
South Indian Mango (ripe),fruit,62.5,0.85,14.78,0.36,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Gujarati Paratha (plain),snack,294.1,6.95,49.36,9.77,Mixed,Heating,Pungent,Increases Kapha and Pitta
Punjabi Bajra (pearl millet),grains,383,13.01,71.01,4.85,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Gujarati Carrot,vegetable,41.8,0.9,9.46,0.23,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
North Indian Poha,snack,122.3,2.85,27.22,0.32,Mixed,Heating,Pungent,Increases Kapha and Pitta
Gujarati Fenugreek (methi),vegetable,49.7,4.31,8.39,0.55,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Maharashtrian Pomegranate,fruit,86.6,1.52,19.14,1.39,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Assamese Milk (cow),dairy,57,3.03,5.26,3.34,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Gujarati Guava,fruit,69.2,2.7,14.53,1.11,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Kashmiri Curd (yogurt),dairy,62.2,3.43,5.04,3.74,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Kashmiri Tender coconut water,beverage,18.9,0.6,4.25,0.19,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
Hyderabadi Mustard seed,spice,452.8,27.87,27.2,35.97,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Gujarati Wheat (atta),grains,332.4,13.4,75.06,2.42,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Bengali Ragi (finger millet),grains,336.4,7.15,75.19,1.56,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Assamese Paratha (plain),snack,286,8.15,43.55,10.57,Mixed,Heating,Pungent,Increases Kapha and Pitta
Hyderabadi Orange,fruit,43.8,1.08,8.88,0.07,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Kashmiri Urad dal,legumes,346.7,24.39,60.78,1.42,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Rajasthani Fenugreek seed,spice,306,21.04,61.31,7.17,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Maharashtrian Fenugreek seed,spice,321.3,22.69,58.24,6.92,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Gujarati Jalebi,sweet,429.1,2.55,74.1,18.63,Sweet,Heating,Sweet,Increases Kapha and Pitta
Rajasthani Urad dal,legumes,350.3,27,48.59,1.68,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Maharashtrian Milk (cow),dairy,58,2.73,5.26,3.62,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
South Indian Kheer (rice pudding),sweet,139,3.44,21.93,5.46,Sweet,Heating,Sweet,Increases Kapha and Pitta
Kashmiri Jalebi,sweet,486.9,2.65,70.32,15.98,Sweet,Heating,Sweet,Increases Kapha and Pitta
Punjabi Barley,grains,349.6,11.66,82.51,2.27,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
South Indian Curd (yogurt),dairy,61.4,3.65,4.72,3.69,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Assamese Cumin (jeera),spice,363.3,18.08,42.23,20.24,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
North Indian Groundnut oil,oil,857,0,0,95.15,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
North Indian Upma,snack,146.9,4.47,24.56,6,Mixed,Heating,Pungent,Increases Kapha and Pitta
Kashmiri Banana (ripe),fruit,89.4,0.95,22.57,0.22,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Maharashtrian Brinjal (eggplant),vegetable,25.4,1.13,5.06,0.21,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Punjabi Flaxseed,nuts_seeds,529.7,19.28,29.27,39.98,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Bengali Kheer (rice pudding),sweet,137.8,3,21.29,5.01,Sweet,Heating,Sweet,Increases Kapha and Pitta
Rajasthani Sesame oil,oil,968,0,0,89.4,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
Assamese Dosa,snack,152.9,3.84,27.43,3.73,Mixed,Heating,Pungent,Increases Kapha and Pitta
Rajasthani Chapati,snack,101.3,3.86,19.42,1.82,Mixed,Heating,Pungent,Increases Kapha and Pitta
Maharashtrian Tender coconut water,beverage,20.5,0.79,3.57,0.11,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
Bengali Bajra (pearl millet),grains,322.2,10.93,66.15,4.65,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Kashmiri Coffee,beverage,2,0.11,0,0,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
Bengali Rice (brown),grains,111.9,2.69,21.5,1.04,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Bengali Groundnut oil,oil,879.6,0,0.35,101.63,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
Rajasthani Okra (bhindi),vegetable,34.6,1.94,7.19,0.24,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
North Indian Mustard oil,oil,833.4,0.01,0,98.54,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
Hyderabadi Bajra (pearl millet),grains,358.7,9.85,64.79,5.03,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Bengali Idli,snack,58.5,2.2,13.13,0.31,Mixed,Heating,Pungent,Increases Kapha and Pitta
South Indian Turmeric (haldi),spice,327.1,10.03,64.5,3.71,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Gujarati Chickpea (kabuli),legumes,342.3,20.4,64.66,5.72,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Rajasthani Almond,nuts_seeds,619.3,20.78,21.97,50.81,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Bengali Orange,fruit,42.7,0.98,9.43,0,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
North Indian Papaya,fruit,45.8,0.33,11.68,0.41,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Punjabi Apple,fruit,49.2,0.26,13.07,0.18,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Gujarati Upma,snack,155.6,4.78,29.12,6.26,Mixed,Heating,Pungent,Increases Kapha and Pitta
Kashmiri Rice (brown),grains,107.9,2.56,20.68,0.82,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Assamese Carrot,vegetable,43,1.06,9.26,0.14,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
North Indian Mango (ripe),fruit,59.9,0.83,14.27,0.44,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Rajasthani Idli,snack,56.6,2.4,12.6,0.4,Mixed,Heating,Pungent,Increases Kapha and Pitta
Kashmiri Bitter gourd (karela),vegetable,16.6,0.99,3.96,0.16,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Punjabi Turmeric (haldi),spice,308,10.94,69.36,3.23,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Kashmiri Flaxseed,nuts_seeds,552.6,17.81,30.93,43.29,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Punjabi Black gram,legumes,339.2,22.79,50.72,1.38,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Hyderabadi Almond,nuts_seeds,544.4,21.44,23.85,57.69,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Gujarati Potato,vegetable,79.5,2.08,15.16,0.05,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Maharashtrian Wheat (atta),grains,314.1,12.54,71.27,2.42,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Hyderabadi Fenugreek (methi),vegetable,44.2,4.66,7.56,0.62,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Hyderabadi Pineapple,fruit,55.2,0.41,11.03,0.07,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Bengali Bitter gourd (karela),vegetable,17.9,1.2,3.39,0.25,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Kashmiri Cumin (jeera),spice,366.3,17.65,51.21,19.95,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Bengali Cashew,nuts_seeds,560,18.88,32.17,44.2,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Gujarati Urad dal,legumes,352.3,24.22,58.94,1.56,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Punjabi Papaya,fruit,44.3,0.46,11.25,0.3,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Assamese Paneer,dairy,279.9,18.22,0.31,22.64,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Assamese Cashew,nuts_seeds,528,17.25,29.12,48.12,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Assamese Mustard oil,oil,789.6,0.31,0.53,101.56,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
North Indian Cashew,nuts_seeds,551.5,18.62,31.14,45.88,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
South Indian Mustard oil,oil,908.6,0.01,0,98.94,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
South Indian Paratha (plain),snack,297.1,8.18,46.6,7.94,Mixed,Heating,Pungent,Increases Kapha and Pitta
South Indian Ghee,dairy,929.5,0.02,0,97.28,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Gujarati Bajra (pearl millet),grains,381.3,12.48,63.89,5.14,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
North Indian Jalebi,sweet,428.1,2.22,67.37,19.09,Sweet,Heating,Sweet,Increases Kapha and Pitta
Assamese Peanut (groundnut),nuts_seeds,594,26.86,16.8,50.98,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Maharashtrian Banana (ripe),fruit,86.1,1.14,24.1,0.38,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Kashmiri Kidney bean (rajma),legumes,352.8,25.36,61.27,0.91,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Gujarati Groundnut oil,oil,882.8,0,0,94.79,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
